Gender,Education Level,Loan Purpose,Employment Status,Payment History,Country,Risk Rating,Age,Income,Credit Score,Loan Amount,Debt-to-Income Ratio,Assets Value
Male,High School,Business,Employed,Poor,Bahamas,Low,24,112345,765,5715,0.583298646,291385
Male,High School,Personal,Self-employed,Poor,Bolivia,Medium,19,78169,645.8,37910,0.36801508,57975
Male,Bachelor's,Personal,Employed,Fair,Bangladesh,Low,34,81455,688.8,32623,0.243107118,37783
Male,PhD,Home,Employed,Excellent,Colombia,High,55,33292,708.2,39561,0.332786653,167201.4
Non-binary,Bachelor's,Home,Self-employed,Good,Jersey,Low,53,108890,742.8,17915,0.204328554,219289
Female,PhD,Home,Self-employed,Fair,Moldova,Medium,31,106840,700.2,37522,0.430126221,59811
Female,PhD,Home,Unemployed,Excellent,Sierra Leone,Low,34,67390,679.8,16408,0.122103364,135677
Non-binary,Master's,Auto,Employed,Poor,Malta,Low,18,69862,793,46612,0.567811918,284107
Non-binary,Master's,Auto,Unemployed,Good,Chad,Low,28,69282,733,29463.6,0.364348748,211084
Male,High School,Auto,Employed,Excellent,Montenegro,Low,25,71287.2,710,38845,0.134635782,232815
Female,Bachelor's,Auto,Self-employed,Poor,Ghana,Low,68,68707,643,15951,0.314789341,144979
Non-binary,PhD,Home,Unemployed,Fair,Botswana,Low,40,33079,707,13770,0.48752531,223038
Non-binary,High School,Personal,Unemployed,Poor,China,Low,35,53948,689.2,33959,0.3064492,55840
Female,Master's,Home,Self-employed,Poor,Malta,Low,47,65639.8,694,34281,0.57309224,199243
Male,PhD,Business,Employed,Good,Mayotte,Medium,26,58141.6,767,31485,0.447639818,69581
Female,Bachelor's,Home,Unemployed,Fair,Japan,Medium,68,101171,746,33368,0.34860512,170018
Male,Master's,Home,Employed,Excellent,Uruguay,Low,65,94130,617,32124,0.563325486,181840.2
Female,Bachelor's,Business,Self-employed,Poor,Kenya,Low,22,37986,704,27029,0.104369709,166714
Male,PhD,Auto,Employed,Poor,Jersey,Low,32,59894.6,741,31291,0.185684346,243900
Male,High School,Personal,Employed,Excellent,Niue,Low,61,66612,686,45583,0.11125728,32208
Female,High School,Business,Unemployed,Excellent,Canada,Low,18,58767.8,683.8,14515,0.296113834,41906
Female,Master's,Home,Employed,Good,Zambia,Low,23,89563,722,6331,0.149540579,65227
Female,PhD,Business,Unemployed,Good,Georgia,Low,65,94289,746,41806,0.488433328,110057
Male,Master's,Auto,Unemployed,Good,Belarus,Medium,43,33706,700,21272,0.484584075,25596
Non-binary,Bachelor's,Home,Self-employed,Fair,Sierra Leone,Low,67,57190,717.2,30024.8,0.434700606,191626
Non-binary,Bachelor's,Business,Employed,Excellent,Guernsey,Medium,62,43237,698,9165,0.161131989,162761
Male,Master's,Auto,Employed,Good,Guam,Low,61,77924,650.8,26969,0.28381014,25738
Female,Bachelor's,Home,Unemployed,Excellent,Ethiopia,High,24,41162,646,47191,0.418394011,116129
Female,Master's,Personal,Employed,Poor,Czech Republic,Low,55,30384,761.6,14766,0.177908954,117082.4
Male,PhD,Personal,Employed,Poor,Samoa,Low,26,73776.4,651,26301.2,0.316427199,156321
Male,PhD,Business,Employed,Excellent,Benin,Low,28,47149,772,43187,0.454106882,171389
Male,Master's,Auto,Self-employed,Excellent,Falkland Islands (Malvinas),Low,38,56873.2,688.6,30929,0.208519042,287533
Male,Master's,Business,Employed,Excellent,San Marino,Low,51,59913,793,46664,0.379126492,195603.4
Female,High School,Auto,Unemployed,Fair,Pitcairn Islands,Low,44,78906,657,29796,0.168169584,149758
Non-binary,Bachelor's,Personal,Unemployed,Good,Bosnia and Herzegovina,Low,61,111434,719,16736,0.269459518,113304
Non-binary,Master's,Personal,Employed,Good,Brazil,Low,36,105523,664,23710,0.415573705,91365
Female,PhD,Auto,Self-employed,Excellent,Czech Republic,Low,44,57823.8,778,47342,0.352704514,226002
Female,PhD,Personal,Unemployed,Good,Israel,Medium,34,105807,730,26131,0.192396181,202969
Male,Master's,Personal,Employed,Poor,Sweden,Low,54,87381,617,12611,0.470407521,241773
Male,Master's,Business,Unemployed,Excellent,Germany,Low,23,107938,630,30939.4,0.278292193,239088
Male,Bachelor's,Business,Employed,Excellent,Cote d'Ivoire,Low,19,29496,673,44766,0.293264286,189989
Female,Bachelor's,Home,Employed,Fair,Saudi Arabia,Low,31,42161,714,23979,0.296887065,72775
Male,High School,Business,Employed,Poor,Gabon,High,43,91826,729.6,30325.6,0.275051513,185558
Male,High School,Personal,Employed,Excellent,Gibraltar,Medium,27,65350.8,786,12531,0.145127283,104280
Male,Master's,Business,Employed,Good,Panama,Medium,19,56726,665,7275,0.133825566,36002
Male,High School,Home,Employed,Good,Cambodia,Medium,21,105381,631,49073,0.483040205,294640
Male,PhD,Home,Self-employed,Fair,United States Minor Outlying Islands,Medium,52,33065,634,48272,0.365278166,129573
Non-binary,High School,Auto,Employed,Good,Tokelau,Low,41,59979,689,26674.2,0.382427228,97011
Female,High School,Home,Self-employed,Fair,Iran,Low,55,26800,731,46575,0.273535982,170870
Male,High School,Auto,Unemployed,Excellent,Portugal,Medium,26,39307,631,42994,0.23911859,143189
Female,High School,Personal,Unemployed,Poor,Saudi Arabia,Low,34,46565.6,716,27679.6,0.494973967,64176
Male,Master's,Auto,Employed,Poor,Iran,Medium,48,93973.2,692.6,27203.6,0.389455609,33992
Male,Bachelor's,Home,Unemployed,Excellent,Kyrgyz Republic,Low,54,72189.2,771,5740,0.497263386,229756
Female,Bachelor's,Auto,Self-employed,Good,Sweden,Low,31,60821,600,6571,0.358475381,56937
Male,Bachelor's,Business,Unemployed,Fair,Lesotho,High,39,46038,610,33457.6,0.322324769,94914
Non-binary,Master's,Business,Self-employed,Excellent,Senegal,Low,28,82110,768,33886.4,0.350381787,265876
Non-binary,Bachelor's,Home,Unemployed,Excellent,Cape Verde,Low,40,73516,770.8,39091,0.413561707,23746
Male,Master's,Home,Employed,Fair,Bolivia,Medium,18,103003,775,27276,0.513838177,103406.6
Female,High School,Personal,Employed,Excellent,Albania,Low,36,36108,654,47629,0.549394562,159077
Female,Master's,Personal,Self-employed,Fair,French Southern Territories,Low,64,45832,710,22295.8,0.419548272,24836
Non-binary,PhD,Business,Unemployed,Good,Northern Mariana Islands,Low,45,97755,714,47459,0.195046674,263004
Non-binary,High School,Home,Self-employed,Poor,Christmas Island,Low,30,38268,784,18878,0.526359729,150597
Female,PhD,Personal,Self-employed,Fair,Cote d'Ivoire,Low,25,115773,675,34518.6,0.389649506,106602
Male,PhD,Personal,Employed,Fair,Kyrgyz Republic,Medium,45,68990.4,626,49881,0.274032482,55380
Male,PhD,Home,Unemployed,Excellent,Montenegro,Low,50,89926,715.6,44876,0.528400836,89374
Female,High School,Personal,Employed,Poor,Saint Vincent and the Grenadines,Medium,57,34987,677,7301,0.393403747,160851
Male,PhD,Business,Employed,Good,North Macedonia,High,57,90030,690,43194,0.444593356,124972
Male,Bachelor's,Personal,Employed,Excellent,Guam,Low,22,72249,697,6492,0.292539227,96823
Female,PhD,Personal,Employed,Excellent,Georgia,Low,68,53587.2,602,31706.6,0.426190844,74448
Female,High School,Personal,Self-employed,Excellent,Mozambique,Medium,25,29179,691,16771,0.586917251,112056.2
Male,Bachelor's,Personal,Self-employed,Good,Turkey,Low,34,117686,701,30563,0.585212334,66595
Non-binary,Bachelor's,Personal,Employed,Poor,Montserrat,Low,25,82218,770,38826,0.42346559,245428
Male,Bachelor's,Home,Employed,Excellent,Montenegro,Low,45,42555,680,34695,0.4540456,134473
Male,Bachelor's,Home,Employed,Excellent,Azerbaijan,High,39,112222,737,33130,0.425858605,245334
Female,Master's,Personal,Self-employed,Fair,Oman,Medium,68,23346,600,35561.6,0.589575187,141407.8
Female,Master's,Auto,Employed,Excellent,Niue,Low,23,116669,782,28263,0.35701895,288793
Non-binary,PhD,Home,Unemployed,Good,Rwanda,Low,35,31377,690,26570,0.402610126,111597
Non-binary,Bachelor's,Personal,Self-employed,Good,Northern Mariana Islands,Medium,45,105977,740.6,36285,0.10221208,228883
Non-binary,Bachelor's,Personal,Employed,Excellent,Marshall Islands,Low,42,89070,756,18488,0.555160219,53198
Male,High School,Home,Unemployed,Good,Hong Kong,Low,66,72748,711,21720.8,0.197163506,190518
Female,Master's,Auto,Employed,Fair,Belarus,High,36,39750,649,12139,0.405760055,106118
Non-binary,Bachelor's,Personal,Unemployed,Fair,Cayman Islands,Medium,45,115515,718,45789,0.323737968,176949.6
Female,Bachelor's,Personal,Employed,Excellent,Bangladesh,Medium,30,90480,702.2,23125,0.327963763,113249
Non-binary,High School,Business,Employed,Poor,Kazakhstan,Low,53,77515.6,642,19497,0.598431336,227148
Female,Master's,Home,Self-employed,Good,Turkey,Medium,50,39623,782,9214,0.338953088,193342
Female,High School,Personal,Unemployed,Good,Nigeria,Low,59,37907,672.2,39055,0.164555303,143648.8
Non-binary,PhD,Auto,Employed,Excellent,Bulgaria,Medium,40,115833,734,6488,0.233933227,26634
Male,PhD,Personal,Unemployed,Fair,Tanzania,Low,34,63402.6,637,18682,0.120994175,175387
Non-binary,Bachelor's,Auto,Unemployed,Good,Mauritania,Low,48,109364,668,15281,0.167345235,296493
Female,PhD,Business,Employed,Poor,Equatorial Guinea,Medium,41,20185,670,37897,0.335747279,258954
Female,High School,Home,Unemployed,Good,Ukraine,Low,45,28469,635,27982,0.576871939,168066
Female,Master's,Home,Employed,Fair,Saint Lucia,Low,26,112199,647,42982,0.105343069,228001
Male,Bachelor's,Home,Unemployed,Excellent,Norway,Low,34,95955,618,20246.4,0.408295832,262852
Female,High School,Auto,Employed,Poor,Bahrain,Low,62,69668.8,626,7215,0.457412673,154315
Non-binary,Master's,Business,Unemployed,Good,Germany,Low,63,103130,690,26953.4,0.554489016,68019
Male,Master's,Business,Self-employed,Good,Vanuatu,Medium,67,70806,600,22018,0.478277935,78437
Female,Master's,Business,Unemployed,Poor,Gibraltar,Low,39,42205.8,732,29123.8,0.321895652,146107
Male,Bachelor's,Business,Self-employed,Excellent,Serbia,Low,44,69360.2,650,23662,0.552915921,220671
Male,Bachelor's,Auto,Employed,Poor,Bahrain,Low,26,114711,684,43402,0.243013522,121809.8
Female,Bachelor's,Personal,Employed,Fair,Tonga,Medium,26,45482,664,28707,0.286170522,138642
Male,PhD,Home,Employed,Excellent,Timor-Leste,Medium,20,82934,645.8,45686,0.575380756,100471
Non-binary,PhD,Auto,Self-employed,Excellent,Albania,Low,34,35977,715,18554,0.584900247,83151.6
Male,High School,Personal,Employed,Excellent,Anguilla,Low,54,117417,690,31631,0.108748948,115543
Non-binary,PhD,Home,Employed,Excellent,Andorra,Medium,45,36127,701,40624,0.408645692,32098
Female,Master's,Personal,Employed,Fair,New Zealand,Low,28,55985,683,43661,0.435383283,247277
Female,PhD,Personal,Self-employed,Poor,Congo,Low,18,104600,612,45506,0.317302498,232364
Male,PhD,Auto,Unemployed,Good,Micronesia,Low,27,100880,704,16656,0.150136347,121449
Female,Master's,Home,Unemployed,Good,Saint Helena,Low,31,84796,670,42344,0.485949304,173406
Non-binary,High School,Home,Unemployed,Excellent,Singapore,Medium,36,65984,781,23723,0.18694503,37657
Non-binary,PhD,Home,Employed,Good,Kiribati,Low,41,106348,611,16284,0.282896618,281924
Female,Master's,Business,Unemployed,Excellent,Belgium,Low,36,42880,661,35755.6,0.27276157,123401.6
Female,Bachelor's,Home,Employed,Fair,Austria,Medium,58,93396,607,29464,0.192853003,151725
Male,Bachelor's,Business,Employed,Poor,New Zealand,Low,60,48805,737,13853,0.278884656,149468
Male,PhD,Home,Self-employed,Fair,Rwanda,High,67,91521,725,41269,0.533290791,130422
Male,Master's,Business,Unemployed,Poor,Malta,Medium,18,74843.8,612,34278,0.101769394,134073.8
Non-binary,PhD,Auto,Employed,Poor,Ecuador,High,44,98347,624,41759,0.153736244,124813
Male,High School,Home,Self-employed,Fair,Gabon,Medium,53,90345,779,23181,0.224792324,273425
Female,High School,Auto,Employed,Good,Andorra,High,38,112301,635,6446,0.207213102,102837.8
Male,PhD,Auto,Unemployed,Good,Belgium,Medium,49,41865,752,38445,0.467941024,23278
Female,PhD,Home,Self-employed,Fair,Pakistan,Low,39,66806,759,12993,0.174855792,136414
Male,Bachelor's,Business,Self-employed,Excellent,Andorra,Low,39,114182,788,29990,0.41174122,109842
Non-binary,High School,Home,Unemployed,Fair,Taiwan,Low,56,102318,620,34290,0.286985992,79526
Male,Master's,Personal,Unemployed,Good,Venezuela,Low,45,24942,706,45673,0.409127486,138734.8
Female,Bachelor's,Personal,Unemployed,Excellent,Serbia,Low,29,89254,742,32817,0.42467678,76648
Male,PhD,Personal,Employed,Fair,Turkey,Low,42,115192,767,39562,0.166504847,240199
Male,PhD,Home,Self-employed,Fair,Angola,Low,21,111253,701,42411,0.21019322,166768.2
Male,Master's,Business,Employed,Excellent,Saint Helena,Medium,27,38773,601,38219.8,0.241080145,59199
Non-binary,Master's,Home,Unemployed,Excellent,Serbia,Low,19,60148,701,21173,0.567660863,242488
Female,PhD,Business,Employed,Excellent,Ghana,Low,38,84736,750,40252,0.296728131,106637
Male,Master's,Home,Unemployed,Fair,Bhutan,Low,43,78209,756,38755,0.138585759,194063
Male,High School,Home,Self-employed,Fair,Cape Verde,Medium,38,112064,688,10974,0.337285966,81989
Female,Master's,Auto,Self-employed,Good,Austria,Medium,31,72365,732.2,48758,0.302917551,137876.4
Non-binary,PhD,Business,Unemployed,Good,Korea,Low,41,63805,795,7989,0.23936609,129977
Male,PhD,Business,Unemployed,Poor,Norway,Medium,34,109666,669,39599,0.504544475,204446
Non-binary,PhD,Business,Employed,Poor,Mayotte,Medium,33,77993,674,41634,0.184486089,297870
Female,PhD,Home,Unemployed,Excellent,Saint Martin,High,31,73514.6,798,9971,0.549259838,252169
Male,Bachelor's,Business,Employed,Good,South Africa,Low,40,23487,679,37928,0.548518531,287466
Male,PhD,Auto,Self-employed,Fair,Uganda,Low,64,100543,646,32332.8,0.383381945,283375
Male,Bachelor's,Business,Self-employed,Excellent,Oman,Low,57,96202,614,35214,0.105102513,83968
Female,Bachelor's,Personal,Self-employed,Fair,Northern Mariana Islands,Low,21,42219.4,608,6243,0.477054351,196619
Female,PhD,Auto,Employed,Fair,Mozambique,High,69,83872,676.2,11124,0.522265968,297429
Female,High School,Auto,Employed,Fair,Singapore,High,43,61798,653,16048,0.417949739,30769
Female,Master's,Business,Unemployed,Good,Malawi,Low,47,78951,615,5741,0.387376652,163358
Male,Bachelor's,Business,Employed,Good,South Africa,Low,43,115341,667,43640,0.556176885,98873
Non-binary,PhD,Personal,Unemployed,Good,Yemen,Low,51,96286,616,40806,0.218081795,191862
Male,High School,Business,Self-employed,Fair,Maldives,Medium,38,100138,628,43006,0.1385471,117558
Male,Master's,Home,Self-employed,Good,Cote d'Ivoire,Low,69,57622.4,676,42601,0.47362594,241321
Non-binary,High School,Personal,Employed,Fair,Kiribati,Medium,66,47702,606,19471,0.457654669,236777
Non-binary,Master's,Personal,Employed,Good,Libyan Arab Jamahiriya,High,41,63403.6,760,15422,0.127208799,216341.6
Male,Master's,Business,Self-employed,Poor,Somalia,Medium,44,91129,733,28923,0.359394032,167719
Non-binary,High School,Auto,Self-employed,Excellent,Uzbekistan,Medium,39,33901,722,19762.6,0.443993902,176859
Female,PhD,Home,Unemployed,Fair,Montenegro,Low,33,23260,675,32826,0.520563804,157830
Male,Master's,Personal,Self-employed,Good,Serbia,Medium,66,106181,791,41748,0.126327971,125555
Non-binary,High School,Business,Self-employed,Fair,Argentina,Low,25,39861,607,16292,0.578177206,102529
Male,Bachelor's,Personal,Employed,Fair,Svalbard & Jan Mayen Islands,Medium,29,44325,759,8667,0.180654957,116520
Non-binary,Bachelor's,Home,Employed,Excellent,Samoa,Low,50,38243,768,6526,0.401038255,71650
Male,High School,Home,Unemployed,Fair,El Salvador,Medium,43,50331,743,19996,0.447922929,125622
Male,Bachelor's,Personal,Self-employed,Excellent,Burundi,Low,49,62732,618,36682,0.287763063,204674.2
Non-binary,High School,Home,Employed,Excellent,Kenya,Low,50,77874,736.2,34442.4,0.592505913,251874
Female,Master's,Personal,Unemployed,Excellent,Russian Federation,High,60,72483,774,39729,0.129155499,203978
Male,Master's,Home,Unemployed,Poor,Denmark,Low,60,102862,731,13175,0.449028058,258169
Female,Master's,Auto,Self-employed,Good,Montserrat,Low,19,110502,655,39218,0.440230337,285565
Female,High School,Auto,Employed,Good,Cocos (Keeling) Islands,Low,20,37458,623,20297,0.515530501,265360
Non-binary,Bachelor's,Personal,Unemployed,Good,Fiji,Low,41,61783,789,41382,0.372233743,277052
Non-binary,Master's,Home,Unemployed,Fair,Mali,Low,35,81717,766,29770,0.543451148,117049
Male,High School,Home,Self-employed,Fair,Guatemala,Low,66,41292,627,38343,0.519535087,224860
Female,PhD,Auto,Employed,Excellent,Belarus,Low,59,95871,752,46078,0.593315006,124811.4
Female,High School,Personal,Self-employed,Excellent,Angola,Medium,60,101259,635,5594,0.158052955,262368
Male,Bachelor's,Business,Unemployed,Poor,Ecuador,High,37,63352,655,24531,0.117715842,141533
Non-binary,Bachelor's,Auto,Unemployed,Good,Gambia,Low,49,112995,617,8923,0.404957686,277622
Non-binary,High School,Personal,Self-employed,Fair,Uzbekistan,Low,29,62213,719,16036,0.104980266,173093
Non-binary,PhD,Personal,Self-employed,Fair,Vanuatu,Low,40,45525,666,45392,0.233718414,197435
Male,PhD,Home,Employed,Poor,Spain,Medium,62,108568,798,15051,0.187800216,124685
Male,PhD,Business,Employed,Good,South Africa,Low,37,110859,736,6063,0.507729765,264447
Male,PhD,Personal,Self-employed,Excellent,Australia,Low,52,64852,602,43555,0.361896796,137653
Female,PhD,Auto,Employed,Excellent,Timor-Leste,Low,51,103336,748,38637,0.142029619,130335
Male,High School,Auto,Self-employed,Fair,Tanzania,Low,67,37197,683,9750,0.155532228,154557.6
Male,Master's,Auto,Self-employed,Excellent,United Arab Emirates,Medium,42,43500,648,5129,0.151740142,260707
Male,Bachelor's,Business,Unemployed,Excellent,Sri Lanka,Medium,30,43763,702.2,43195,0.323992815,232483
Male,PhD,Auto,Self-employed,Excellent,Guadeloupe,Low,21,97366,728,22118,0.529374246,117000
Non-binary,Bachelor's,Personal,Employed,Good,Azerbaijan,Low,44,44450,724,7177,0.358384376,237624
Non-binary,Bachelor's,Auto,Employed,Excellent,Andorra,Low,21,97022,685,37881,0.392685997,272950
Male,Bachelor's,Home,Employed,Fair,Finland,Low,48,60531.2,602,5583,0.174288943,156497
Non-binary,Bachelor's,Business,Self-employed,Good,Botswana,Low,28,38066,704.8,20824.6,0.587852018,121459
Male,Bachelor's,Business,Employed,Excellent,Israel,Low,65,72813,680,9534,0.321305855,169330.8
Female,Master's,Auto,Employed,Good,Grenada,High,63,49511,685,23149,0.406816526,281074
Non-binary,PhD,Home,Employed,Poor,El Salvador,Low,43,33587,731,23707,0.368762396,235831
Female,High School,Business,Unemployed,Fair,Northern Mariana Islands,High,66,110016,635,18599,0.26446948,171393.4
Male,Bachelor's,Business,Employed,Good,South Africa,Low,50,70116.4,699.6,46309,0.527665926,79242
Non-binary,Bachelor's,Personal,Unemployed,Poor,Niger,Medium,36,70050,684,16260,0.249107721,280121
Non-binary,PhD,Personal,Unemployed,Good,Panama,Medium,28,72025,746,37953,0.599290138,124742
Non-binary,Master's,Business,Self-employed,Fair,Bulgaria,Medium,33,64584.2,600,42323,0.38112113,179759
Male,High School,Personal,Employed,Fair,Egypt,Medium,19,103298,756,28584,0.258362248,72929
Non-binary,Bachelor's,Business,Unemployed,Fair,Bhutan,Low,48,57305.4,672.4,11419,0.257815304,198158
Female,High School,Personal,Employed,Fair,Georgia,Medium,46,67404,783,26008,0.303486426,171597
Non-binary,Master's,Business,Employed,Poor,Turks and Caicos Islands,High,24,64137.6,736,21219,0.242400066,103040.4
Male,PhD,Auto,Self-employed,Poor,Bouvet Island (Bouvetoya),Medium,21,35362,755,11546,0.408717578,175675
Female,High School,Home,Self-employed,Fair,Nauru,Low,49,118279,685,44812,0.338918648,193205
Male,Master's,Personal,Employed,Good,Colombia,Medium,54,104559,737,11703,0.337531887,276912
Non-binary,PhD,Personal,Self-employed,Excellent,Vanuatu,Low,32,70800.8,734,20293,0.491535637,154456
Male,PhD,Personal,Unemployed,Fair,Gabon,Low,64,79212.2,728,7435,0.226578427,131340
Male,High School,Personal,Self-employed,Good,Mayotte,Low,68,67455.8,636,29463,0.161165248,215274
Non-binary,High School,Auto,Unemployed,Excellent,Estonia,Medium,22,66384,714,34477,0.544929007,139286
Non-binary,Bachelor's,Personal,Employed,Fair,Croatia,Low,37,61486.4,635,17464,0.270321674,111171.4
Female,PhD,Home,Self-employed,Good,Pakistan,Medium,24,81134,675,35068,0.222141747,190284
Male,PhD,Business,Employed,Poor,Netherlands,Low,34,69546,701,35235,0.487150988,170083
Female,Master's,Auto,Self-employed,Excellent,Kuwait,Low,69,31171,650,47262,0.489093639,228830
Male,Master's,Home,Self-employed,Excellent,Myanmar,Low,44,52777.4,663,28269.8,0.127374486,125818
Non-binary,High School,Home,Self-employed,Excellent,Dominican Republic,Low,56,116706,678.8,7862,0.203228131,170306
Male,PhD,Business,Employed,Excellent,French Guiana,Low,50,78139,731.4,28021,0.448533636,113082
Non-binary,High School,Personal,Self-employed,Good,Nigeria,Low,45,42516,763,30413,0.481486371,99256
Male,PhD,Personal,Self-employed,Good,Namibia,Low,30,41329,701.6,36408,0.191036802,59866
Male,Master's,Business,Employed,Fair,Antigua and Barbuda,Low,65,29321,621,14356,0.307246528,113839
Female,Master's,Home,Employed,Good,Sierra Leone,Medium,55,69545,621,17473,0.586080742,66718
Non-binary,Master's,Auto,Unemployed,Good,Djibouti,Low,59,98296.2,698,28142,0.146765475,298551
Male,Master's,Business,Unemployed,Excellent,Slovakia (Slovak Republic),Medium,57,78916,604,9993,0.551068591,225108
Male,Bachelor's,Auto,Self-employed,Fair,Western Sahara,Low,51,47075,742,21389,0.386571467,21736
Female,PhD,Personal,Self-employed,Good,United States of America,Low,40,36017,683.2,13450,0.344326339,260783
Female,Bachelor's,Personal,Unemployed,Good,Djibouti,Medium,34,77888,676,20200,0.502860195,152883
Female,High School,Personal,Employed,Excellent,Slovakia (Slovak Republic),Low,63,82820,690,17461,0.189016297,221601
Male,High School,Home,Unemployed,Poor,Yemen,Low,57,55843,744,36259,0.554835906,41227
Non-binary,Master's,Business,Self-employed,Excellent,United States of America,Low,38,54984,704,12682.2,0.145045791,206622
Male,Master's,Auto,Unemployed,Poor,Uruguay,Low,50,62002,647,38436.2,0.230987632,141153.2
Non-binary,Master's,Auto,Unemployed,Good,Egypt,Low,59,36488,680,22175,0.466703792,167368
Female,PhD,Business,Self-employed,Excellent,Grenada,Low,61,87703,607,24188,0.365229566,202499
Non-binary,High School,Home,Employed,Good,Lao People's Democratic Republic,Low,21,109515,699,43301,0.544549845,290638
Female,Master's,Home,Self-employed,Poor,Equatorial Guinea,Low,46,30847,647,23912.2,0.548137296,188960
Non-binary,Bachelor's,Home,Employed,Good,Afghanistan,Low,30,88235,681.2,26405,0.505990478,74712
Non-binary,Master's,Home,Unemployed,Fair,Jordan,Low,44,73316.4,704,19255,0.219632767,237231
Non-binary,Bachelor's,Auto,Employed,Poor,Kiribati,Medium,26,110185,789,6871,0.528662275,152964
Male,PhD,Home,Unemployed,Excellent,Tuvalu,Medium,44,80706,716,27268.4,0.27911138,65146
Non-binary,Bachelor's,Business,Employed,Excellent,Togo,Low,34,69372.6,698,38056.6,0.463777618,214642.4
Male,Bachelor's,Home,Self-employed,Fair,Argentina,Low,43,53241,745,41564,0.282965233,141762
Male,PhD,Personal,Unemployed,Poor,South Africa,Low,66,81274,638,33375,0.431314247,173738
Non-binary,High School,Personal,Unemployed,Good,Honduras,Medium,43,63739.8,682,21699,0.284611752,232084
Female,Bachelor's,Business,Employed,Good,Cayman Islands,Low,40,50340,604,40196,0.120125141,288367
Non-binary,Master's,Auto,Unemployed,Good,Chad,Medium,22,38256,626,11591,0.457045966,189915.4
Non-binary,Bachelor's,Home,Employed,Good,Puerto Rico,Low,21,80262,725,33234.6,0.180260161,46998
Non-binary,Master's,Auto,Self-employed,Good,Saudi Arabia,Low,41,76902,716,16185.4,0.400330838,99963
Male,PhD,Auto,Employed,Poor,Djibouti,Low,63,72206.6,765,19073,0.528327138,84206
Male,High School,Business,Self-employed,Excellent,Uganda,Low,64,119500,725,47174,0.553357054,235087
Female,High School,Auto,Employed,Excellent,Jamaica,Medium,20,29028,748,37776.4,0.107689981,122353
Non-binary,Master's,Business,Unemployed,Excellent,Czech Republic,Medium,24,104270,616,21901,0.447826886,109947.8
Male,Bachelor's,Home,Self-employed,Good,Falkland Islands (Malvinas),High,69,67003.8,717,17708,0.189820545,126922
Female,Bachelor's,Home,Employed,Excellent,Palestinian Territory,Medium,49,50936,602,42030,0.178084564,119796.6
Non-binary,High School,Personal,Employed,Good,Lao People's Democratic Republic,Low,28,92323,776,41615,0.577896053,221392
Female,PhD,Home,Self-employed,Poor,French Polynesia,Medium,56,42066,654,9110,0.163652024,167220
Female,Master's,Business,Unemployed,Excellent,United Arab Emirates,Medium,19,25274,645.8,49998,0.167636928,94706
Male,High School,Business,Self-employed,Fair,Hungary,High,28,22583,655,35258,0.435354403,64826
Non-binary,High School,Auto,Employed,Poor,Colombia,Low,51,31408,761,24906,0.352844923,168833.2
Male,Master's,Auto,Self-employed,Good,Belize,Medium,30,102246,646,22428,0.283512687,203817
Female,PhD,Home,Employed,Fair,Bosnia and Herzegovina,Medium,56,32467,722,18656,0.531532187,126294
Non-binary,Bachelor's,Home,Self-employed,Fair,Antigua and Barbuda,Medium,64,89086,794,7698,0.342202061,33371
Non-binary,PhD,Auto,Self-employed,Poor,Congo,Low,68,84587,717.2,27326.6,0.432212426,171569
Non-binary,High School,Business,Unemployed,Poor,Palestinian Territory,Medium,33,69008.4,678,32679,0.209576846,92739.6
Male,Bachelor's,Personal,Unemployed,Excellent,Algeria,Medium,25,66266,677.2,22756.8,0.129692433,21390
Female,Master's,Auto,Employed,Good,Thailand,Low,64,112407,684,20503,0.221396815,221056
Male,Bachelor's,Home,Self-employed,Good,Saint Martin,Low,43,63769,651,40865,0.458144143,29507
Non-binary,Bachelor's,Home,Unemployed,Poor,Tajikistan,Low,53,59536,745,19166,0.112477869,237895
Non-binary,High School,Auto,Self-employed,Excellent,Mozambique,Medium,60,81354,695.4,46198,0.478696642,173203
Non-binary,High School,Business,Employed,Poor,Mayotte,Medium,48,21573,757,47969,0.23331126,140702
Non-binary,High School,Business,Self-employed,Fair,Cameroon,Medium,61,33860,630,20505,0.108685451,164817
Female,High School,Auto,Unemployed,Excellent,Northern Mariana Islands,Low,54,80271.4,691.6,23413.8,0.1583514,131508
Male,High School,Home,Self-employed,Fair,New Caledonia,Low,55,26611,726.4,44756,0.376399837,158463
Male,High School,Home,Unemployed,Poor,Rwanda,Low,24,75598,630,7519,0.506312238,244860
Female,Bachelor's,Home,Self-employed,Excellent,Cuba,Low,18,91819,653,46360,0.505514057,155063
Male,Master's,Home,Unemployed,Excellent,Saint Vincent and the Grenadines,Low,22,37310,739,26947,0.404723659,105392.4
Non-binary,Bachelor's,Auto,Self-employed,Poor,Togo,Low,56,87593,748,27408.8,0.510465686,147707
Female,Bachelor's,Business,Employed,Fair,North Macedonia,Medium,18,83436,688,36568,0.180271983,153571
Male,Bachelor's,Home,Employed,Poor,Saint Barthelemy,Low,43,54256,786,11162,0.528183333,113184
Non-binary,High School,Business,Unemployed,Poor,Cocos (Keeling) Islands,Low,31,70800.8,738,36316,0.109966769,81894
Male,High School,Personal,Self-employed,Good,Kiribati,Low,21,46465,673,20095,0.262285948,201213
Male,High School,Personal,Unemployed,Fair,Nepal,Low,30,70800.8,719,48647,0.378145602,267778
